,0,1,2
423,ECTM.S1AG1221,2013.09,138.9
424,ECTM.S1AG1221,2013.1,150.4
425,ECTM.S1AG1221,2013.11,155.6
426,ECTM.S1AG1221,2013.12,187.1
427,ECTM.S1AG1221,2014.01,149.5
428,ECTM.S1AG1221,2014.02,140.9
429,ECTM.S1AG1221,2014.03,156.3
430,ECTM.S1AG1221,2014.04,149.7
431,ECTM.S1AG1221,2014.05,159.9
432,ECTM.S1AG1221,2014.06,148.3
433,ECTM.S1AG1221,2014.07,155.5
434,ECTM.S1AG1221,2014.08,160.5
435,ECTM.S1AG1221,2014.09,155.1
436,ECTM.S1AG1221,2014.1,167.4
437,ECTM.S1AG1221,2014.11,168.5
438,ECTM.S1AG1221,2014.12,205.6
439,ECTM.S1AG1221,2015.01,167.1
440,ECTM.S1AG1221,2015.02,155.7
441,ECTM.S1AG1221,2015.03,171
442,ECTM.S1AG1221,2015.04,159.5
443,ECTM.S1AG1221,2015.05,167.9
444,ECTM.S1AG1221,2015.06,159.6
445,ECTM.S1AG1221,2015.07,167
446,ECTM.S1AG1221,2015.08,167.7
447,ECTM.S1AG1221,2015.09,165.9
448,ECTM.S1AG1221,2015.1,177
449,ECTM.S1AG1221,2015.11,176.2
450,ECTM.S1AG1221,2015.12,216.8
451,ECTM.S1AG1221,2016.01,170.2
452,ECTM.S1AG1221,2016.02,166.6
453,ECTM.S1AG1221,2016.03,178.5
454,ECTM.S1AG1221,2016.04,173.5
455,ECTM.S1AG1221,2016.05,171.1
456,ECTM.S1AG1221,2016.06,166.8
457,ECTM.S1AG1221,2016.07,172.7
458,ECTM.S1AG1221,2016.08,170.3
459,ECTM.S1AG1221,2016.09,170.9
460,ECTM.S1AG1221,2016.1,177.3
461,ECTM.S1AG1221,2016.11,179.5
462,ECTM.S1AG1221,2016.12,222.9
463,ECTM.S1AG1221,2017.01,176.3
464,ECTM.S1AG1221,2017.02,170.8
465,ECTM.S1AG1221,2017.03,190.9
466,ECTM.S1AG1221,2017.04,179.8
467,ECTM.S1AG1221,2017.05,187.5
468,ECTM.S1AG1221,2017.06,184
469,ECTM.S1AG1221,2017.07,184.5
470,ECTM.S1AG1221,2017.08,188.5
471,ECTM.S1AG1221,2017.09,188.1
472,ECTM.S1AG1221,2017.1,194.1
473,ECTM.S1AG1221,2017.11,201.4
474,ECTM.S1AG1221,2017.12,241.6
475,ECTM.S1AG1221,2018.01,185.7
476,ECTM.S1AG1221,2018.02,179.6
477,ECTM.S1AG1221,2018.03,209.9
478,ECTM.S1AG1221,2018.04,186.9
479,ECTM.S1AG1221,2018.05,198.8
480,ECTM.S1AG1221,2018.06,193.2
481,ECTM.S1AG1221,2018.07,194.1
482,ECTM.S1AG1221,2018.08,203.3
483,ECTM.S1AG1221,2018.09,198.9
484,ECTM.S1AG1221,2018.1,206.8
485,ECTM.S1AG1221,2018.11,212.6
486,ECTM.S1AG1221,2018.12,245.6
487,ECTM.S1AG1221,2019.01,195.5
488,ECTM.S1AG1221,2019.02,187.9
489,ECTM.S1AG1221,2019.03,209.2
490,ECTM.S1AG1221,2019.04,193.2
491,ECTM.S1AG1221,2019.05,202.9
492,ECTM.S1AG1221,2019.06,189.4
493,ECTM.S1AG1221,2019.07,195.2
494,ECTM.S1AG1221,2019.08,203.9
495,ECTM.S1AG1221,2019.09,196
496,ECTM.S1AG1221,2019.1,207.8
497,ECTM.S1AG1221,2019.11,214.9
498,ECTM.S1AG1221,2019.12,248
499,ECTM.S1AG1221,2020.01,200.3
500,ECTM.S1AG1221,2020.02,202.9
501,ECTM.S1AG1221,2020.03,213.6
502,ECTM.S1AG1221,2020.04,68.8
503,ECTM.S1AG1221,2020.05,173.8
504,ECTM.S1AG1221,2020.06,206.8
505,ECTM.S1AG1221,2020.07,221.7
506,ECTM.S1AG1221,2020.08,209.6
507,ECTM.S1AG1221,2020.09,215.9
508,ECTM.S1AG1221,2020.1,237.1
509,ECTM.S1AG1221,2020.11,228.4
510,ECTM.S1AG1221,2020.12,265.8
511,ECTM.S1AG1221,2021.01,208.1
512,ECTM.S1AG1221,2021.02,193.1
513,ECTM.S1AG1221,2021.03,217.2
514,ECTM.S1AG1221,2021.04,214.5
515,ECTM.S1SG1221,2007.03,
516,ECTM.S1SG1221,2007.04,
517,ECTM.S1SG1221,2007.05,
518,ECTM.S1SG1221,2007.06,
519,ECTM.S1SG1221,2007.07,
520,ECTM.S1SG1221,2007.08,
521,ECTM.S1SG1221,2007.09,
522,ECTM.S1SG1221,2007.1,
523,ECTM.S1SG1221,2007.11,
524,ECTM.S1SG1221,2007.12,
525,ECTM.S1SG1221,2008.01,
526,ECTM.S1SG1221,2008.02,
527,ECTM.S1SG1221,2008.03,
528,ECTM.S1SG1221,2008.04,
529,ECTM.S1SG1221,2008.05,
530,ECTM.S1SG1221,2008.06,
531,ECTM.S1SG1221,2008.07,
532,ECTM.S1SG1221,2008.08,
533,ECTM.S1SG1221,2008.09,
534,ECTM.S1SG1221,2008.1,
535,ECTM.S1SG1221,2008.11,
536,ECTM.S1SG1221,2008.12,
537,ECTM.S1SG1221,2009.01,
538,ECTM.S1SG1221,2009.02,
539,ECTM.S1SG1221,2009.03,
540,ECTM.S1SG1221,2009.04,
541,ECTM.S1SG1221,2009.05,
542,ECTM.S1SG1221,2009.06,
543,ECTM.S1SG1221,2009.07,
544,ECTM.S1SG1221,2009.08,
545,ECTM.S1SG1221,2009.09,
546,ECTM.S1SG1221,2009.1,
547,ECTM.S1SG1221,2009.11,
548,ECTM.S1SG1221,2009.12,
549,ECTM.S1SG1221,2010.01,
550,ECTM.S1SG1221,2010.02,
551,ECTM.S1SG1221,2010.03,
552,ECTM.S1SG1221,2010.04,
553,ECTM.S1SG1221,2010.05,
554,ECTM.S1SG1221,2010.06,
555,ECTM.S1SG1221,2010.07,
556,ECTM.S1SG1221,2010.08,
557,ECTM.S1SG1221,2010.09,
558,ECTM.S1SG1221,2010.1,
559,ECTM.S1SG1221,2010.11,
560,ECTM.S1SG1221,2010.12,
561,ECTM.S1SG1221,2011.01,
562,ECTM.S1SG1221,2011.02,
563,ECTM.S1SG1221,2011.03,
564,ECTM.S1SG1221,2011.04,
565,ECTM.S1SG1221,2011.05,
566,ECTM.S1SG1221,2011.06,
567,ECTM.S1SG1221,2011.07,
568,ECTM.S1SG1221,2011.08,
569,ECTM.S1SG1221,2011.09,
570,ECTM.S1SG1221,2011.1,
571,ECTM.S1SG1221,2011.11,
572,ECTM.S1SG1221,2011.12,
573,ECTM.S1SG1221,2012.01,
574,ECTM.S1SG1221,2012.02,
575,ECTM.S1SG1221,2012.03,
576,ECTM.S1SG1221,2012.04,
577,ECTM.S1SG1221,2012.05,
578,ECTM.S1SG1221,2012.06,
579,ECTM.S1SG1221,2012.07,
580,ECTM.S1SG1221,2012.08,
581,ECTM.S1SG1221,2012.09,
582,ECTM.S1SG1221,2012.1,
583,ECTM.S1SG1221,2012.11,
584,ECTM.S1SG1221,2012.12,
585,ECTM.S1SG1221,2013.01,
586,ECTM.S1SG1221,2013.02,
587,ECTM.S1SG1221,2013.03,
588,ECTM.S1SG1221,2013.04,
589,ECTM.S1SG1221,2013.05,
590,ECTM.S1SG1221,2013.06,
591,ECTM.S1SG1221,2013.07,
592,ECTM.S1SG1221,2013.08,
593,ECTM.S1SG1221,2013.09,
594,ECTM.S1SG1221,2013.1,
595,ECTM.S1SG1221,2013.11,
596,ECTM.S1SG1221,2013.12,
597,ECTM.S1SG1221,2014.01,
598,ECTM.S1SG1221,2014.02,
599,ECTM.S1SG1221,2014.03,
600,ECTM.S1SG1221,2014.04,
601,ECTM.S1SG1221,2014.05,
602,ECTM.S1SG1221,2014.06,
603,ECTM.S1SG1221,2014.07,
604,ECTM.S1SG1221,2014.08,
605,ECTM.S1SG1221,2014.09,
606,ECTM.S1SG1221,2014.1,
607,ECTM.S1SG1221,2014.11,
608,ECTM.S1SG1221,2014.12,
609,ECTM.S1SG1221,2015.01,
610,ECTM.S1SG1221,2015.02,
611,ECTM.S1SG1221,2015.03,
612,ECTM.S1SG1221,2015.04,
613,ECTM.S1SG1221,2015.05,
614,ECTM.S1SG1221,2015.06,
615,ECTM.S1SG1221,2015.07,
616,ECTM.S1SG1221,2015.08,
617,ECTM.S1SG1221,2015.09,
618,ECTM.S1SG1221,2015.1,
619,ECTM.S1SG1221,2015.11,
620,ECTM.S1SG1221,2015.12,
621,ECTM.S1SG1221,2016.01,
622,ECTM.S1SG1221,2016.02,
623,ECTM.S1SG1221,2016.03,
624,ECTM.S1SG1221,2016.04,
625,ECTM.S1SG1221,2016.05,
626,ECTM.S1SG1221,2016.06,
627,ECTM.S1SG1221,2016.07,
628,ECTM.S1SG1221,2016.08,
629,ECTM.S1SG1221,2016.09,
630,ECTM.S1SG1221,2016.1,
631,ECTM.S1SG1221,2016.11,
632,ECTM.S1SG1221,2016.12,
633,ECTM.S1SG1221,2017.01,
634,ECTM.S1SG1221,2017.02,
635,ECTM.S1SG1221,2017.03,
636,ECTM.S1SG1221,2017.04,
637,ECTM.S1SG1221,2017.05,
638,ECTM.S1SG1221,2017.06,
639,ECTM.S1SG1221,2017.07,
640,ECTM.S1SG1221,2017.08,
641,ECTM.S1SG1221,2017.09,
642,ECTM.S1SG1221,2017.1,
